Name,Name_pseudonym,Name_token,IC Number,IC_token,Home Address,Generalized_Home_Address,Phone Number,Phone_token,Email,Email_token,Age,Generalized_Age,Parent Salary (RM),Generalized_Salary,CGPA,CGPA_noisy,Health Status,Health_Status_pseudonym
Thiru Selvan,Eric Garcia,1788f8c4a10ee9c787f1bae689c55568f1c01bdf068b23987d31dc53f22fb6d7,040404-13-3456,1d32ee91a7b9b55efb8d3e441cf5c104c024eed9b415797dea7a6f0656a82726,"267, Jalan Desa, Kuching",Group 0,014-7890123,063ce60a5b4deb041daf220d7dc304b6a032cea4ec8f20fc3d4512cd7e970cc6,thiru.selvan@example.com,c0023bbf8940e6ab9685c6de57823045d03165c5171a9d1876eb11403bf8f4dd,20,20-29,5600,3000-5999 RM,3.6,4.34541653305899,Good,Produce put treatment suggest process.
Aina binti Razak,Miss Christine Sosa,831a8c2480283dae4575adc4169e6996ce94246dfc14ff6b8d5ce73d24bac9b1,050505-14-4567,68d136ef0a0578900e9606f5b566f60de30340c504e48aabb2b523231f765e79,"289, Jalan Seri, Klang",Group 1,015-8901234,1c43fbb309eef9005ec5f3b5029f12071edc39d8c291619f52dc7b1a0eeb8908,aina.razak@example.com,33439847d2a8c8fbd6c1f087f4a48da4ef73dbb97931bd39b3cb0dc5eb4fd47f,19,0-19,4700,3000-5999 RM,3.8,3.39838300650849,Excellent,Little dark husband.
Yong Kai Wen,Teresa Bell,7782f16ad7f92cb988c7c447f8537f34057e32dd2184380463d71772966211fe,060606-15-5678,1ba8496c10c88d7633794ca81087476a755e75d9d185b5e5b8ca96067e315075,"301, Jalan Hijau, Georgetown",Group 1,016-9012345,483388249bef216eee6ebda8f38fa87a6e2f00aed2b38f6a4988b397b9bb5b6d,yong.kaiwen@example.com,2825d4a43e89ad1d66c502dd0a388a92c4cd10c8279e9d5e8abaf07fc9d7a79e,18,0-19,4900,3000-5999 RM,3.7,3.7392480630634686,Good,Price people green stuff.
Hema Latha,Daniel Brown,6a7c495f72b617bb4dbb05d27ecb3ed0735b3af4bd0133aa38366507231a6ec2,070707-16-6789,32446049ef446575897157a063671844dbd4e1acec92e81f753a01abf044acd0,"323, Jalan Biru, Kuala Lumpur",Group 1,017-0123456,01350bd1a7a84857b207a97c9f6c8657d1b3417ddb2abdbe356ec38880e6fcaa,hema.latha@example.com,14e9e025d52535540eb5c8b98f42af24b52ea3c5a1c8c1607976b96c5736142f,17,0-19,4600,3000-5999 RM,3.75,3.7534301403779313,Fair,Choice true tend music raise.
Ahmad bin Abu,Billy Wall MD,d61adc33a1c8e30b4e2db171adc596109ae8e3916a2933d5c0ea514cdeba928f,080808-17-7890,90037dcd2f86b49ef1327d5f79a8d3fa382d28e78335de4eaca949983018ae38,"345, Jalan Putih, Putrajaya",Group 1,018-1234567,dc7df2dc7e68164c71ade2033c478778dacfa6c9e1164c08a9ffeda2f499be0b,ahmad.abu@example.com,327efdf6caa416eeaa083902de7e0d80f027011806dab7a2ff5ac4b2a78391d0,16,0-19,5100,3000-5999 RM,3.65,1.9441991536332228,Good,Move guess camera pattern.
Mei Fong,Danielle Patrick,6480aae8b3e9026631fa33d758f6c2f1f367b4459a517630bcc7e3d4429dbb91,090909-18-8901,6ef1ac35defdc10b4db2afca9ea6f5708ec9298b08006752a67c7d6e79e73397,"367, Jalan Kuning, Sibu",Group 1,019-2345678,0a5b973c1d8ca12230e7d6605ea77093746a90d67183d7a53bd51a807444ef69,mei.fong@example.com,636be729e8322337cdfe379f42d308b07700d876fb8d8c76b57fffaf58943ae6,15,0-19,5200,3000-5999 RM,3.85,4.078473250090302,Excellent,Save great allow type.
Raju Kumar,Michael Henson,f56a9d8d1f43723beed8146235352dfa13ddb7629bc9770bf23e898139ca0c8d,101010-19-9012,4b2c0029f65262f1e8e70326525202e596c736d0b97b308b19d2c1205c8efacf,"389, Jalan Merah, Sandakan",Group 1,010-3456789,07cfd42e815d7224403eca37ba8d9be5870058751bd501b2a4d477e8ba44b11f,raju.kumar@example.com,34226f2f8147c0ce9e0ad9e97c55a23e4af4cec07c2600d59a4076653fa79ed1,14,0-19,4700,3000-5999 RM,3.5,2.4889639565506942,Fair,Decade common government assume reflect.
Zainal Abidin,Michael Foster,ceecf95699a312612c2cb5d0e7c2a34a09f10fdae3f2bbe8816541d6f076473c,111111-20-0123,a4ec4ce9c87816d8d3cac2394760488aced53a638c88b2723a09df9d6bdbbf23,"401, Jalan Putra, Kuala Lumpur",Group 1,011-4567890,5028ea44db03fb472d2a47014ee8650e18df5abf67cbb3a7eff1290a91515de6,zainal.abidin@example.com,e8751a53f48a8d82b790ae519a9348a2709f3f9bd96f4eb351ef868531fac70a,13,0-19,4300,3000-5999 RM,3.55,3.694368446333699,Good,Thousand cultural along.
Amira binti Latif,Lori Schneider,9fa2c3ee649eaaab8a2cd78d60084b8ce48c2e0a52c99bf144581c0772b36c18,121212-21-1234,4acce39477cda524feb7f79513ef41685f9b32f9ebaf5a377ba64d67ab546c5f,"423, Jalan Raja, Alor Setar",Group 1,012-5678901,6a9cda3e13fa1487bcebb3af65b9f91b3d034c2fc8d14db11f5ea3e7aa1c7ac7,amira.latif@example.com,47caa73233595a2a0281c863166c566052c74e603e61eba67a20f0c985214111,12,0-19,4600,3000-5999 RM,3.8,4.227932787462189,Good,Always six onto ten four current set chair.
Chia Wei Han,Mr. Joseph Schneider,fcf7e561255824a427a1419207ef5a060359f49aac798dd5fddcc2ccf28f8eed,131313-22-2345,fdd87ae2b5600b294d49d07d6f57c017935267c6aea11d72a78317b0d43a174a,"445, Jalan Sultan, Miri",Group 1,013-6789012,27bf2957ef28a008adf40c9c9c573f07ebb1248cb2a0c7549729fcd26431f06b,chia.weihan@example.com,559ff9667e316bb21586366c805df4f4b3687372bbce09a1c9e4b15afbaf186c,11,0-19,5500,3000-5999 RM,3.65,3.2721501008698595,Fair,Easy TV short few.
Suresh Kumar,Kimberly Robinson,c5327a8454c989eb6d1d9a7b96ea09bfe5783a1d717efccdbafccc1e8803f823,141414-23-3456,2a4bcd6587f5fda2a4bc4a983c17ee733e1567b00decf0988888c86cf084c8bd,"467, Jalan King, Kuching",Group 1,014-7890123,063ce60a5b4deb041daf220d7dc304b6a032cea4ec8f20fc3d4512cd7e970cc6,suresh.kumar@example.com,e1c8d1b4981dda2cd5c2819ce53599f834800f183ef2b64f155b5f93c2e1da47,10,0-19,4800,3000-5999 RM,3.75,3.4976310299608313,Excellent,Anything green difference affect.
Norhidayah,Michael Washington,c0195a210c0c030e290ccd6efdd29e7a02c6a12ac9e80b5ee1cd767f8a03d626,151515-24-4567,f266e064de2f027a0c051d654036f38b6a6124aa9f06a9b68a2898b265d8d0ad,"489, Jalan Tunku, Klang",Group 1,015-8901234,1c43fbb309eef9005ec5f3b5029f12071edc39d8c291619f52dc7b1a0eeb8908,norhidayah@example.com,fafa992e102d4ce24a6fd4bfbfce4206666100051673a8dcc0dbe42417f41de8,9,0-19,4500,3000-5999 RM,3.85,4.083663662175294,Good,Floor sound building song use.
Lim Wei Hui,Vanessa Coleman,db785d88e8209377b7b0c5ec9f8da57dd6e32487ed73d6710730cb3bbd52f443,161616-25-5678,f96499823a56ef84c3064e9d770ad7631a45882530c655949532ffbfd99a0aa5,"501, Jalan Taman, Georgetown",Group 1,016-9012345,483388249bef216eee6ebda8f38fa87a6e2f00aed2b38f6a4988b397b9bb5b6d,lim.weihui@example.com,b516a0f99b02f3fb2dcdd97a279de05d8c1a2e6b923f053406f65ab1f9b02560,8,0-19,5200,3000-5999 RM,3.9,4.864860283590862,Excellent,Care represent realize agent would company.
Arvind Raj,Austin Martinez,16a1e3cd6e42c6704acacb9a29c2d9b6ccc9d5a2223ba114a025a59fc2e9c372,171717-26-6789,a2dd3065d276a37516dbadebb03b85fa57ce8744240ac92a05153ea3a1a4c1b4,"523, Jalan Sri, Sibu",Group 1,017-0123456,01350bd1a7a84857b207a97c9f6c8657d1b3417ddb2abdbe356ec38880e6fcaa,arvind.raj@example.com,40bde3f3be9f7a540c4898214bd0480633bbf454b6712feb4596a6e8686f0174,7,0-19,5400,3000-5999 RM,3.8,4.951155039901757,Good,Reveal show college bag both.
Safia binti Noor,Jason Jensen,3b8f9035fec88a03c14c6ad9da72a2dfd40862111c243b2f455600846ed171b3,181818-27-7890,9f92d67bf21aca7025b805482d01f20d3e2a9a3d07358280e0f336921b275d0c,"545, Jalan Hijau, Kuala Lumpur",Group 1,018-1234567,dc7df2dc7e68164c71ade2033c478778dacfa6c9e1164c08a9ffeda2f499be0b,safia.noor@example.com,ff2a40a31340ce0d7d92740980770edf1d576ee85ab06c080670d6554a0db91c,6,0-19,5000,3000-5999 RM,3.65,2.8925749729456673,Fair,Billion season federal somebody drop.
Wong Kin Fai,David Juarez,3426dccb35423a200f56eac9a2ac00615cd2f88573774f6e0e88995ace2e3f3c,191919-28-8901,d863568d79f29b1ac5924989afff1fbc069b268e26260d172a97a44b18310d9a,"567, Jalan Desa, Putrajaya",Group 1,019-2345678,0a5b973c1d8ca12230e7d6605ea77093746a90d67183d7a53bd51a807444ef69,wong.kinfai@example.com,ca306f7d84fb6fdec88707cb78892d06e9bbfbeb58702724f911aec489ccec96,5,0-19,5800,3000-5999 RM,3.7,2.7910911105471605,Excellent,Manager special month.
Aina binti Osman,Joseph Weber,b8ad574b90176701dae389c7129787e6c9366fb5798da37b56d4313e26ab65de,202020-29-9012,55bce052302d7548ffd2dfa6efaf4c965fbec41fa84e03ba5951f58fda2d0d97,"589, Jalan Teratai, Sandakan",Group 1,010-3456789,07cfd42e815d7224403eca37ba8d9be5870058751bd501b2a4d477e8ba44b11f,aina.osman@example.com,1f9b4e261d4ef95bd60541c203528654106790c4a2b8ed5c670faf32d305872c,4,0-19,4700,3000-5999 RM,3.85,3.896502094294125,Good,State board where analysis test them will.
Kumar Narayanan,Mr. Jason Escobar,6fe435522f14d22f5269933adc1be7badcde5cec664f3d553c5a865cc15bec2a,212121-30-0123,b6daf9dd58787fd719de86c32ab0c13fdd0fa702572a5d3cf0db4077f6efddca,"601, Jalan Melati, Johor Bahru",Group 1,011-4567890,5028ea44db03fb472d2a47014ee8650e18df5abf67cbb3a7eff1290a91515de6,kumar.narayanan@example.com,7dbe6d6325c289d3018f5d2bf302cb7c0ba2085462b84649eb04bcd21f875673,3,0-19,4900,3000-5999 RM,3.55,-3.9032433964999846,Fair,Risk day movie southern tough memory.
